match_id,match_name,home_team,away_team,bowling_team,venue,city,innings_id,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain
1298170,PAK v SA,PAK,SA,SA,Sydney Cricket Ground,Sydney,1,Lungi Ngidi,4,0,32,1,8,11,3,1,2,0,FALSE
1298170,PAK v SA,PAK,SA,SA,Sydney Cricket Ground,Sydney,1,Tabraiz Shamsi,4,0,36,1,9,8,2,2,2,0,FALSE
1298168,NED v ZIM,ZIM,NED,NED,Adelaide Oval,Adelaide,1,Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0,FALSE
1298168,NED v ZIM,ZIM,NED,NED,Adelaide Oval,Adelaide,1,Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0,FALSE
1298168,NED v ZIM,ZIM,NED,ZIM,Adelaide Oval,Adelaide,2,Blessing Muzarabani,4,0,23,2,5.75,14,2,1,1,0,FALSE
1298167,ENG v NZ,ENG,NZ,NZ,Brisbane Cricket Ground,Brisbane,1,Trent Boult,4,0,40,0,10,8,4,1,1,0,FALSE
1298167,ENG v NZ,ENG,NZ,ENG,Brisbane Cricket Ground,Brisbane,2,Chris Woakes,4,0,33,2,8.25,9,1,2,1,0,FALSE
1298167,ENG v NZ,ENG,NZ,ENG,Brisbane Cricket Ground,Brisbane,2,Sam Curran,4,0,26,2,6.5,9,0,0,2,0,FALSE
1298166,AFG v SL,AFG,SL,SL,Brisbane Cricket Ground,Brisbane,1,Lahiru Kumara,4,0,30,2,7.5,12,2,1,4,0,FALSE
1298166,AFG v SL,AFG,SL,SL,Brisbane Cricket Ground,Brisbane,1,Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0,FALSE
1298166,AFG v SL,AFG,SL,AFG,Brisbane Cricket Ground,Brisbane,2,Rashid Khan,4,0,31,2,7.75,10,2,1,1,0,FALSE
1298165,AUS v IRE,AUS,IRE,IRE,Brisbane Cricket Ground,Brisbane,1,Josh Little,4,0,21,2,5.25,13,2,0,2,0,FALSE
1298165,AUS v IRE,AUS,IRE,IRE,Brisbane Cricket Ground,Brisbane,1,Mark Adair,4,0,59,0,14.75,6,7,2,6,0,FALSE
1298165,AUS v IRE,AUS,IRE,IRE,Brisbane Cricket Ground,Brisbane,1,Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0,FALSE
1298165,AUS v IRE,AUS,IRE,AUS,Brisbane Cricket Ground,Brisbane,2,Pat Cummins,4,0,28,2,7,14,3,1,1,0,FALSE
1298164,INDIA v SA,INDIA,SA,SA,Perth Stadium,Perth,1,Kagiso Rabada,4,0,26,0,6.5,13,2,1,1,0,FALSE
1298164,INDIA v SA,INDIA,SA,INDIA,Perth Stadium,Perth,2,Arshdeep Singh,4,0,25,2,6.25,13,4,0,1,0,FALSE
1298163,NED v PAK,NED,PAK,PAK,Perth Stadium,Perth,1,Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0,FALSE
1298162,BAN v ZIM,BAN,ZIM,ZIM,Brisbane Cricket Ground,Brisbane,1,Richard Ngarava,4,0,24,2,6,11,2,0,2,0,FALSE
1298162,BAN v ZIM,BAN,ZIM,BAN,Brisbane Cricket Ground,Brisbane,2,Hasan Mahmud,4,0,36,0,9,8,5,0,3,0,FALSE
1298161,NZ v SL,NZ,SL,SL,Sydney Cricket Ground,Sydney,1,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0,FALSE
1298161,NZ v SL,NZ,SL,NZ,Sydney Cricket Ground,Sydney,2,Trent Boult,4,0,13,4,3.25,18,1,0,1,0,FALSE
1298161,NZ v SL,NZ,SL,NZ,Sydney Cricket Ground,Sydney,2,Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,PAK,Perth Stadium,Perth,1,Naseem Shah,4,0,34,0,8.5,7,4,0,2,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,PAK,Perth Stadium,Perth,1,Mohammad Wasim,4,0,24,4,6,16,2,1,4,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,ZIM,Perth Stadium,Perth,2,Richard Ngarava,4,0,24,0,6,15,2,1,2,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,ZIM,Perth Stadium,Perth,2,Sikandar Raza,4,0,25,3,6.25,13,2,1,2,0,FALSE
1298157,INDIA v NED,INDIA,NED,NED,Sydney Cricket Ground,Sydney,1,Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0,FALSE
1298157,INDIA v NED,INDIA,NED,INDIA,Sydney Cricket Ground,Sydney,2,Ravichandran Ashwin,4,0,21,2,5.25,13,1,1,1,0,FALSE
1298156,BAN v SA,SA,BAN,BAN,Sydney Cricket Ground,Sydney,1,Hasan Mahmud,4,0,36,1,9,11,3,2,2,0,FALSE
1298156,BAN v SA,SA,BAN,SA,Sydney Cricket Ground,Sydney,2,Tabraiz Shamsi,4,0,20,3,5,12,0,1,2,0,FALSE
1298154,ENG v IRE,IRE,ENG,ENG,Melbourne Cricket Ground,Melbourne,1,Mark Wood,4,0,34,3,8.5,13,4,1,2,0,FALSE
1298153,AUS v SL,SL,AUS,AUS,Perth Stadium,Perth,1,Josh Hazlewood,4,0,26,1,6.5,13,3,0,3,0,FALSE
1298153,AUS v SL,SL,AUS,AUS,Perth Stadium,Perth,1,Pat Cummins,4,0,36,1,9,12,5,1,2,0,FALSE
1298153,AUS v SL,SL,AUS,AUS,Perth Stadium,Perth,1,Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0,FALSE
1298153,AUS v SL,SL,AUS,AUS,Perth Stadium,Perth,1,Ashton Agar,4,0,25,1,6.25,8,1,0,1,0,FALSE
1298151,BAN v NED,BAN,NED,NED,"Bellerive Oval, Hobart",Hobart,1,Fred Klaassen,4,0,33,1,8.25,10,5,0,3,0,FALSE
1298151,BAN v NED,BAN,NED,BAN,"Bellerive Oval, Hobart",Hobart,2,Shakib Al Hasan,4,0,32,1,8,6,0,2,1,0,TRUE
1298151,BAN v NED,BAN,NED,BAN,"Bellerive Oval, Hobart",Hobart,2,Mustafizur Rahman,4,0,20,0,5,14,2,0,2,0,FALSE
